iso3_country,location,year,month,sector,sub_sector,total_emission
ARG,Buenos Aires,2021,4,Agriculture,enteric-fermentation-cattle-pasture,16570.257058328163
ARG,Buenos Aires,2021,4,Agriculture,enteric-fermentation-other,1269.4916703143112
ARG,Buenos Aires,2021,4,Agriculture,manure-applied-to-soils,0.0
ARG,Buenos Aires,2021,4,Agriculture,manure-left-on-pasture-cattle,309.4997804921808
ARG,Buenos Aires,2021,4,Agriculture,manure-management-cattle-operation,447.9110046099169
ARG,Buenos Aires,2021,4,Agriculture,manure-management-other,127.33482336403604
ARG,Buenos Aires,2021,4,Agriculture,other-agricultural-soil-emissions,0.0
ARG,Buenos Aires,2021,4,Agriculture,rice-cultivation,3921.9008362607183
ARG,Buenos Aires,2021,4,Agriculture,synthetic-fertilizer-application,0.0
ARG,Buenos Aires,2021,4,Buildings (Onsite Fuel Use),non-residential-onsite-fuel-usage,7.715390814880025
ARG,Buenos Aires,2021,4,Buildings (Onsite Fuel Use),other-onsite-fuel-usage,0.0
ARG,Buenos Aires,2021,4,Buildings (Onsite Fuel Use),residential-onsite-fuel-usage,151.28142
ARG,Buenos Aires,2021,4,Forestry & Land Use,forest-land-clearing,0.0
ARG,Buenos Aires,2021,4,Forestry & Land Use,forest-land-degradation,0.0
ARG,Buenos Aires,2021,4,Forestry & Land Use,forest-land-fires,0.0
ARG,Buenos Aires,2021,4,Forestry & Land Use,net-forest-land,0.0
ARG,Buenos Aires,2021,4,Forestry & Land Use,net-shrubgrass,0.0
ARG,Buenos Aires,2021,4,Forestry & Land Use,net-wetland,0.0
ARG,Buenos Aires,2021,4,Forestry & Land Use,removals,0.0
ARG,Buenos Aires,2021,4,Forestry & Land Use,shrubgrass-fires,0.0
ARG,Buenos Aires,2021,4,Forestry & Land Use,wetland-fires,0.0
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,bauxite-mining,0.0
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,coal-mining,4.634339158177507e-07
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,copper-mining,0.0
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,iron-mining,0.0
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,oil-and-gas-production,0.0
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,oil-and-gas-refining,22.085950838212604
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,oil-and-gas-transport,0.0
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,other-energy-use,36.86597613070276
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,other-fossil-fuel-operations,0.0
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,other-mining-quarrying,0.0
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,other-solid-fuels,45.23141578851008
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,rock-quarrying,0.0
ARG,Buenos Aires,2021,4,Fossil Fuel Extraction & Mining,sand-quarrying,0.0
ARG,Buenos Aires,2021,4,Manufacturing & Industry,aluminum,0.0
ARG,Buenos Aires,2021,4,Manufacturing & Industry,cement,0.0
ARG,Buenos Aires,2021,4,Manufacturing & Industry,chemicals,0.0
ARG,Buenos Aires,2021,4,Manufacturing & Industry,fluorinated-gases,0.0
ARG,Buenos Aires,2021,4,Manufacturing & Industry,food-beverage-tobacco,55.77306106881112
ARG,Buenos Aires,2021,4,Manufacturing & Industry,glass,0.0
ARG,Buenos Aires,2021,4,Manufacturing & Industry,iron-and-steel,0.0
ARG,Buenos Aires,2021,4,Manufacturing & Industry,lime,0.0
ARG,Buenos Aires,2021,4,Manufacturing & Industry,other-chemicals,0.0
ARG,Buenos Aires,2021,4,Manufacturing & Industry,other-manufacturing,79.7230698614095
ARG,Buenos Aires,2021,4,Manufacturing & Industry,other-metals,14.3159747447794
ARG,Buenos Aires,2021,4,Manufacturing & Industry,petrochemical-steam-cracking,230.39928033333325
ARG,Buenos Aires,2021,4,Manufacturing & Industry,pulp-and-paper,0.0
ARG,Buenos Aires,2021,4,Manufacturing & Industry,textiles-leather-apparel,39.53753302909937
ARG,Buenos Aires,2021,4,Manufacturing & Industry,wood-and-wood-products,0.2953734632128914
ARG,Buenos Aires,2021,4,Power & Heat,electricity-generation,0.0
ARG,Buenos Aires,2021,4,Power & Heat,heat-plants,0.0
ARG,Buenos Aires,2021,4,Power & Heat,water-reservoirs,4.229888153
ARG,Buenos Aires,2021,4,Transportation,domestic-aviation,0.0105168210687827
ARG,Buenos Aires,2021,4,Transportation,domestic-shipping,1.799065953223709
ARG,Buenos Aires,2021,4,Transportation,international-aviation,0.3610022099117723
ARG,Buenos Aires,2021,4,Transportation,international-shipping,3.754600683439713
ARG,Buenos Aires,2021,4,Transportation,non-broadcasting-vessels,0.0
ARG,Buenos Aires,2021,4,Transportation,other-transport,0.718928187169299
ARG,Buenos Aires,2021,4,Transportation,railways,0.0
ARG,Buenos Aires,2021,4,Transportation,road-transportation,85.26362076000565
ARG,Buenos Aires,2021,4,Waste,biological-treatment-of-solid-waste-and-biogenic,0.0
ARG,Buenos Aires,2021,4,Waste,domestic-wastewater-treatment-and-discharge,2594.0447521401284
ARG,Buenos Aires,2021,4,Waste,incineration-and-open-burning-of-waste,17.05855405645195
ARG,Buenos Aires,2021,4,Waste,industrial-wastewater-treatment-and-discharge,1571.909054680191
ARG,Buenos Aires,2021,4,Waste,solid-waste-disposal,9788.46327576246
ARG,Buenos Aires,2021,5,Agriculture,crop-residues,0.0
ARG,Buenos Aires,2021,5,Agriculture,cropland-fires,96.62707000000005
ARG,Buenos Aires,2021,5,Agriculture,enteric-fermentation-cattle-operation,7960.65554088193
ARG,Buenos Aires,2021,5,Agriculture,enteric-fermentation-cattle-pasture,16570.25705832816
ARG,Buenos Aires,2021,5,Agriculture,enteric-fermentation-other,1269.4916703143126
ARG,Buenos Aires,2021,5,Agriculture,manure-applied-to-soils,0.0
ARG,Buenos Aires,2021,5,Agriculture,manure-left-on-pasture-cattle,309.4997804921808
ARG,Buenos Aires,2021,5,Agriculture,manure-management-cattle-operation,447.9110046099167
ARG,Buenos Aires,2021,5,Agriculture,manure-management-other,127.334823364036
ARG,Buenos Aires,2021,5,Agriculture,other-agricultural-soil-emissions,0.0
ARG,Buenos Aires,2021,5,Agriculture,rice-cultivation,3921.9008362607137
ARG,Buenos Aires,2021,5,Agriculture,synthetic-fertilizer-application,0.0
ARG,Buenos Aires,2021,5,Buildings (Onsite Fuel Use),non-residential-onsite-fuel-usage,13.65928652883491
ARG,Buenos Aires,2021,5,Buildings (Onsite Fuel Use),other-onsite-fuel-usage,0.0
ARG,Buenos Aires,2021,5,Buildings (Onsite Fuel Use),residential-onsite-fuel-usage,266.06276999999994
ARG,Buenos Aires,2021,5,Forestry & Land Use,forest-land-clearing,0.0
ARG,Buenos Aires,2021,5,Forestry & Land Use,forest-land-degradation,0.0
ARG,Buenos Aires,2021,5,Forestry & Land Use,forest-land-fires,0.0
ARG,Buenos Aires,2021,5,Forestry & Land Use,net-forest-land,0.0
ARG,Buenos Aires,2021,5,Forestry & Land Use,net-shrubgrass,0.0
ARG,Buenos Aires,2021,5,Forestry & Land Use,net-wetland,0.0
ARG,Buenos Aires,2021,5,Forestry & Land Use,removals,0.0
ARG,Buenos Aires,2021,5,Forestry & Land Use,shrubgrass-fires,0.0
ARG,Buenos Aires,2021,5,Forestry & Land Use,wetland-fires,0.0
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,bauxite-mining,0.0
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,coal-mining,4.564028855428527e-07
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,copper-mining,0.0
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,iron-mining,0.0
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,oil-and-gas-production,0.0
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,oil-and-gas-refining,22.085950838212604
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,oil-and-gas-transport,3.19042610000809e-13
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,other-energy-use,38.69421144871371
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,other-fossil-fuel-operations,0.0
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,other-mining-quarrying,0.0
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,other-solid-fuels,45.11438280177512
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,rock-quarrying,0.0
ARG,Buenos Aires,2021,5,Fossil Fuel Extraction & Mining,sand-quarrying,0.0
ARG,Buenos Aires,2021,5,Manufacturing & Industry,aluminum,0.0
ARG,Buenos Aires,2021,5,Manufacturing & Industry,cement,0.0
ARG,Buenos Aires,2021,5,Manufacturing & Industry,chemicals,0.0
ARG,Buenos Aires,2021,5,Manufacturing & Industry,fluorinated-gases,0.0
ARG,Buenos Aires,2021,5,Manufacturing & Industry,food-beverage-tobacco,55.57888753890233
ARG,Buenos Aires,2021,5,Manufacturing & Industry,glass,0.0
ARG,Buenos Aires,2021,5,Manufacturing & Industry,iron-and-steel,0.0
ARG,Buenos Aires,2021,5,Manufacturing & Industry,lime,0.0
ARG,Buenos Aires,2021,5,Manufacturing & Industry,other-chemicals,0.0
ARG,Buenos Aires,2021,5,Manufacturing & Industry,other-manufacturing,78.56327113114295
ARG,Buenos Aires,2021,5,Manufacturing & Industry,other-metals,14.276017265805269
ARG,Buenos Aires,2021,5,Manufacturing & Industry,petrochemical-steam-cracking,230.39928033333325
ARG,Buenos Aires,2021,5,Manufacturing & Industry,pulp-and-paper,0.0
ARG,Buenos Aires,2021,5,Manufacturing & Industry,textiles-leather-apparel,38.78978820501284
ARG,Buenos Aires,2021,5,Manufacturing & Industry,wood-and-wood-products,0.2953734632128914
ARG,Buenos Aires,2021,5,Power & Heat,electricity-generation,0.0
